Image_Name,Mask_Name,f1,recall,precision,accuracy,iou
Img10_m.jpg,Img10_m.jpg,0.776991694863119,0.7250287026406429,0.8369781312127237,0.9889373779296875,0.6353118712273642
Img11_m.jpg,Img11_m.jpg,0.6658047834518422,0.5684326710816777,0.8034321372854915,0.984222412109375,0.499031007751938
Img12_m.jpg,Img12_m.jpg,0.793401413982718,0.7775211701308699,0.809943865276664,0.991973876953125,0.6575520833333334
Img16_m.jpg,Img16_m.jpg,0.7363465160075329,0.8444924406047516,0.6527545909849749,0.9957275390625,0.5827123695976155
Img17_m.jpg,Img17_m.jpg,0.03605778591176356,0.9665970772442589,0.018371557812871996,0.6222686767578125,0.018359901657546196
Img18_m.jpg,Img18_m.jpg,0.7588495575221238,0.6345975948196114,0.9436038514442916,0.99334716796875,0.6114081996434938
Img20_m.jpg,Img20_m.jpg,0.7433084686265907,0.7076023391812866,0.7828096118299446,0.9910736083984375,0.5914804469273743
Img21_m.jpg,Img21_m.jpg,0.8651336233685519,0.8980645161290323,0.8345323741007195,0.9966888427734375,0.7623220153340635
Img22_m.jpg,Img22_m.jpg,0.46204620462046203,0.7581227436823105,0.3322784810126582,0.985076904296875,0.30042918454935624
Img23_m.jpg,Img23_m.jpg,0.5522803114571746,0.5868794326241135,0.5215336134453782,0.975433349609375,0.38148290434114485
Img24_m.jpg,Img24_m.jpg,0.7059836418424451,0.7288888888888889,0.6844741235392321,0.9895782470703125,0.5455755156353959
Img25_m.jpg,Img25_m.jpg,0.45125628140703516,0.5581106277190802,0.3787431463517503,0.9666748046875,0.29136924075275794
Img26_m.jpg,Img26_m.jpg,0.8031387029771521,0.8305489260143198,0.7774798927613941,0.9869842529296875,0.6710374084072502
Img27_m.jpg,Img27_m.jpg,0.11713791113675708,0.9598108747044918,0.06237517283760946,0.813232421875,0.06221268771069568
Img28_m.jpg,Img28_m.jpg,0.5071209159452666,0.7649536647009267,0.379281537176274,0.9730682373046875,0.3396932285821175
Img2_m.jpg,Img2_m.jpg,0.6287519747235386,0.5467032967032966,0.7397769516728625,0.9748992919921875,0.45852534562211983
Img30_m.jpg,Img30_m.jpg,0.28851922552495224,0.7716994894237783,0.17742746939460002,0.920379638671875,0.168578712555768
Img4_m.jpg,Img4_m.jpg,0.6278957528957528,0.6272902603664416,0.6285024154589371,0.976470947265625,0.45761519521632077
Img8_m.jpg,Img8_m.jpg,0.6190627988524068,0.6031055900621118,0.6358873608382449,0.9817657470703125,0.44829178208679593
Img_10.jpg,Img_10.jpg,0.3165624347605087,0.8487296797430157,0.19456624825662483,0.9626239436095357,0.18804524818565127
Img_103.jpg,Img_103.jpg,0.8539898132427843,0.7996820349761526,0.9162112932604736,0.9947509765625,0.7451851851851852
Img_104.jpg,Img_104.jpg,0.8486646884272997,0.9031578947368422,0.8003731343283582,0.995330810546875,0.7371134020618557
Img_105.jpg,Img_105.jpg,0.8846931894807821,0.9023383768913342,0.8677248677248677,0.9973907470703125,0.7932285368802902
Img_106.jpg,Img_106.jpg,0.8286516853932584,0.8194444444444444,0.8380681818181818,0.99627685546875,0.7074340527577938
