data_points,pair_l,mean_shape,difference,division,f1,recall,precision,accuracy
100,"((7, 7), 35, 0.5)","(7, 7)",35,0.5,0.910081744,0.835,1,0.9175
100,"((7, 7), 35, 1)","(7, 7)",35,1,0.91598916,0.845,1,0.9225
100,"((7, 7), 35, 1.2)","(7, 7)",35,1.2,0.907103825,0.83,1,0.915
100,"((7, 7), 35, 1.5)","(7, 7)",35,1.5,0.91598916,0.845,1,0.9225
100,"((7, 7), 35, 2)","(7, 7)",35,2,0.91598916,0.845,1,0.9225
100,"((7, 7), 35, 2.3)","(7, 7)",35,2.3,0.918918919,0.85,1,0.925
100,"((7, 7), 35, 2.5)","(7, 7)",35,2.5,0.918918919,0.85,1,0.925
100,"((7, 7), 40, 0.2)","(7, 7)",40,0.2,0,0,0,0.5
100,"((7, 7), 40, 0.5)","(7, 7)",40,0.5,0.773006135,0.63,1,0.815
100,"((7, 7), 40, 1)","(7, 7)",40,1,0.816568047,0.69,1,0.845
100,"((7, 7), 40, 1.2)","(7, 7)",40,1.2,0.823529412,0.7,1,0.85
100,"((7, 7), 40, 1.5)","(7, 7)",40,1.5,0.833819242,0.715,1,0.8575
100,"((7, 7), 40, 2)","(7, 7)",40,2,0.833819242,0.715,1,0.8575
100,"((7, 7), 40, 2.3)","(7, 7)",40,2.3,0.837209302,0.72,1,0.86
100,"((7, 7), 40, 2.5)","(7, 7)",40,2.5,0.837209302,0.72,1,0.86
100,"((7, 7), 45, 0.2)","(7, 7)",45,0.2,0,0,0,0.5
100,"((7, 7), 45, 0.5)","(7, 7)",45,0.5,0.717948718,0.56,1,0.78
100,"((7, 7), 45, 1)","(7, 7)",45,1,0.746081505,0.595,1,0.7975
100,"((7, 7), 45, 1.2)","(7, 7)",45,1.2,0.75,0.6,1,0.8
100,"((7, 7), 45, 1.5)","(7, 7)",45,1.5,0.761609907,0.615,1,0.8075
100,"((7, 7), 45, 2)","(7, 7)",45,2,0.761609907,0.615,1,0.8075
100,"((7, 7), 45, 2.3)","(7, 7)",45,2.3,0.773006135,0.63,1,0.815
100,"((7, 7), 45, 2.5)","(7, 7)",45,2.5,0.773006135,0.63,1,0.815
100,"((9, 9), 0, 0.2)","(9, 9)",0,0.2,0.754716981,0.7,0.81871345,0.7725
100,"((9, 9), 0, 0.5)","(9, 9)",0,0.5,0.617210682,0.52,0.759124088,0.6775
100,"((9, 9), 0, 1)","(9, 9)",0,1,0.771084337,0.8,0.744186047,0.7625
100,"((9, 9), 0, 1.2)","(9, 9)",0,1.2,0.791044776,0.795,0.787128713,0.79
100,"((9, 9), 0, 1.5)","(9, 9)",0,1.5,0.867830424,0.87,0.865671642,0.8675
100,"((9, 9), 0, 2)","(9, 9)",0,2,0.85915493,0.915,0.809734513,0.85
100,"((9, 9), 0, 2.3)","(9, 9)",0,2.3,0.876190476,0.92,0.836363636,0.87
100,"((9, 9), 0, 2.5)","(9, 9)",0,2.5,0.866995074,0.88,0.854368932,0.865
100,"((9, 9), 5, 0.2)","(9, 9)",5,0.2,0.754716981,0.7,0.81871345,0.7725
100,"((9, 9), 5, 0.5)","(9, 9)",5,0.5,0.617210682,0.52,0.759124088,0.6775
100,"((9, 9), 5, 1)","(9, 9)",5,1,0.771084337,0.8,0.744186047,0.7625
100,"((9, 9), 5, 1.2)","(9, 9)",5,1.2,0.791044776,0.795,0.787128713,0.79
100,"((9, 9), 5, 1.5)","(9, 9)",5,1.5,0.867830424,0.87,0.865671642,0.8675
100,"((9, 9), 5, 2)","(9, 9)",5,2,0.85915493,0.915,0.809734513,0.85
100,"((9, 9), 5, 2.3)","(9, 9)",5,2.3,0.876190476,0.92,0.836363636,0.87
100,"((9, 9), 5, 2.5)","(9, 9)",5,2.5,0.866995074,0.88,0.854368932,0.865
100,"((9, 9), 10, 0.2)","(9, 9)",10,0.2,0.752688172,0.7,0.813953488,0.77
100,"((9, 9), 10, 0.5)","(9, 9)",10,0.5,0.604790419,0.505,0.753731343,0.67
100,"((9, 9), 10, 1)","(9, 9)",10,1,0.780104712,0.745,0.818681319,0.79
100,"((9, 9), 10, 1.2)","(9, 9)",10,1.2,0.798941799,0.755,0.848314607,0.81
100,"((9, 9), 10, 1.5)","(9, 9)",10,1.5,0.863049096,0.835,0.893048128,0.8675
100,"((9, 9), 10, 2)","(9, 9)",10,2,0.905940594,0.915,0.897058824,0.905
100,"((9, 9), 10, 2.3)","(9, 9)",10,2.3,0.895522388,0.9,0.891089109,0.895
100,"((9, 9), 10, 2.5)","(9, 9)",10,2.5,0.873170732,0.895,0.852380952,0.87
100,"((9, 9), 15, 0.2)","(9, 9)",15,0.2,0.761643836,0.695,0.842424242,0.7825
100,"((9, 9), 15, 0.5)","(9, 9)",15,0.5,0.716666667,0.645,0.80625,0.745
100,"((9, 9), 15, 1)","(9, 9)",15,1,0.829396325,0.79,0.872928177,0.8375
100,"((9, 9), 15, 1.2)","(9, 9)",15,1.2,0.88,0.88,0.88,0.88
100,"((9, 9), 15, 1.5)","(9, 9)",15,1.5,0.88,0.88,0.88,0.88
100,"((9, 9), 15, 2)","(9, 9)",15,2,0.928746929,0.945,0.913043478,0.9275
100,"((9, 9), 15, 2.3)","(9, 9)",15,2.3,0.919708029,0.945,0.895734597,0.9175
100,"((9, 9), 15, 2.5)","(9, 9)",15,2.5,0.88997555,0.91,0.870813397,0.8875
100,"((9, 9), 20, 0.2)","(9, 9)",20,0.2,0.823848238,0.76,0.899408284,0.8375
100,"((9, 9), 20, 0.5)","(9, 9)",20,0.5,0.873385013,0.845,0.903743316,0.8775
100,"((9, 9), 20, 1)","(9, 9)",20,1,0.923469388,0.905,0.942708333,0.925
100,"((9, 9), 20, 1.2)","(9, 9)",20,1.2,0.924242424,0.915,0.933673469,0.925
100,"((9, 9), 20, 1.5)","(9, 9)",20,1.5,0.949494949,0.94,0.959183673,0.95
100,"((9, 9), 20, 2)","(9, 9)",20,2,0.928571429,0.91,0.947916667,0.93
100,"((9, 9), 20, 2.3)","(9, 9)",20,2.3,0.957393484,0.955,0.959798995,0.9575
100,"((9, 9), 20, 2.5)","(9, 9)",20,2.5,0.95,0.95,0.95,0.95
100,"((9, 9), 25, 0.2)","(9, 9)",25,0.2,0.837988827,0.75,0.949367089,0.855
100,"((9, 9), 25, 0.5)","(9, 9)",25,0.5,0.962025316,0.95,0.974358974,0.9625
100,"((9, 9), 25, 1)","(9, 9)",25,1,0.951653944,0.935,0.968911917,0.9525
100,"((9, 9), 25, 1.2)","(9, 9)",25,1.2,0.967254408,0.96,0.974619289,0.9675
