,data_points,pair_l,mean_shape,difference,division,f1,recall,precision,accuracy
47,500,"((7, 7), 25, 2.5)","(7, 7)",25,2.5,0.9569620253164557,0.945,0.9692307692307692,0.9575
48,500,"((7, 7), 30, 0.2)","(7, 7)",30,0.2,0.5865724381625441,0.415,1.0,0.7075
49,500,"((7, 7), 30, 0.5)","(7, 7)",30,0.5,0.961038961038961,0.925,1.0,0.9625
50,500,"((7, 7), 30, 1)","(7, 7)",30,1.0,0.9690721649484536,0.94,1.0,0.97
51,500,"((7, 7), 30, 1.2)","(7, 7)",30,1.2,0.961038961038961,0.925,1.0,0.9625
52,500,"((7, 7), 30, 1.5)","(7, 7)",30,1.5,0.9690721649484536,0.94,1.0,0.97
53,500,"((7, 7), 30, 2)","(7, 7)",30,2.0,0.9690721649484536,0.94,1.0,0.97
54,500,"((7, 7), 30, 2.3)","(7, 7)",30,2.3,0.9664082687338501,0.935,1.0,0.9675
55,500,"((7, 7), 30, 2.5)","(7, 7)",30,2.5,0.9690721649484536,0.94,1.0,0.97
56,500,"((7, 7), 35, 0.2)","(7, 7)",35,0.2,0.3122362869198312,0.185,1.0,0.5925
57,500,"((7, 7), 35, 0.5)","(7, 7)",35,0.5,0.921832884097035,0.855,1.0,0.9275
58,500,"((7, 7), 35, 1)","(7, 7)",35,1.0,0.924731182795699,0.86,1.0,0.93
59,500,"((7, 7), 35, 1.2)","(7, 7)",35,1.2,0.924731182795699,0.86,1.0,0.93
60,500,"((7, 7), 35, 1.5)","(7, 7)",35,1.5,0.921832884097035,0.855,1.0,0.9275
61,500,"((7, 7), 35, 2)","(7, 7)",35,2.0,0.9304812834224598,0.87,1.0,0.935
62,500,"((7, 7), 35, 2.3)","(7, 7)",35,2.3,0.924731182795699,0.86,1.0,0.93
63,500,"((7, 7), 35, 2.5)","(7, 7)",35,2.5,0.9276139410187667,0.865,1.0,0.9325
64,500,"((7, 7), 40, 0.2)","(7, 7)",40,0.2,0.13953488372093023,0.075,1.0,0.5375
65,500,"((7, 7), 40, 0.5)","(7, 7)",40,0.5,0.8472622478386168,0.735,1.0,0.8675
66,500,"((7, 7), 40, 1)","(7, 7)",40,1.0,0.8372093023255813,0.72,1.0,0.86
67,500,"((7, 7), 40, 1.2)","(7, 7)",40,1.2,0.8269794721407624,0.705,1.0,0.8525
68,500,"((7, 7), 40, 1.5)","(7, 7)",40,1.5,0.8405797101449275,0.725,1.0,0.8625
69,500,"((7, 7), 40, 2)","(7, 7)",40,2.0,0.8269794721407624,0.705,1.0,0.8525
70,500,"((7, 7), 40, 2.3)","(7, 7)",40,2.3,0.8439306358381503,0.73,1.0,0.865
71,500,"((7, 7), 40, 2.5)","(7, 7)",40,2.5,0.8372093023255813,0.72,1.0,0.86
72,500,"((7, 7), 45, 0.2)","(7, 7)",45,0.2,0.11320754716981131,0.06,1.0,0.53
73,500,"((7, 7), 45, 0.5)","(7, 7)",45,0.5,0.7730061349693252,0.63,1.0,0.815
74,500,"((7, 7), 45, 1)","(7, 7)",45,1.0,0.7730061349693252,0.63,1.0,0.815
75,500,"((7, 7), 45, 1.2)","(7, 7)",45,1.2,0.7730061349693252,0.63,1.0,0.815
76,500,"((7, 7), 45, 1.5)","(7, 7)",45,1.5,0.7692307692307693,0.625,1.0,0.8125
77,500,"((7, 7), 45, 2)","(7, 7)",45,2.0,0.7730061349693252,0.63,1.0,0.815
78,500,"((7, 7), 45, 2.3)","(7, 7)",45,2.3,0.7767584097859327,0.635,1.0,0.8175
79,500,"((7, 7), 45, 2.5)","(7, 7)",45,2.5,0.7730061349693252,0.63,1.0,0.815
80,500,"((9, 9), 0, 0.2)","(9, 9)",0,0.2,0.7851002865329513,0.685,0.9194630872483222,0.8125
81,500,"((9, 9), 0, 0.5)","(9, 9)",0,0.5,0.6459627329192545,0.52,0.8524590163934426,0.715
82,500,"((9, 9), 0, 1)","(9, 9)",0,1.0,0.7886597938144329,0.765,0.8138297872340425,0.795
83,500,"((9, 9), 0, 1.2)","(9, 9)",0,1.2,0.801980198019802,0.81,0.7941176470588235,0.8
84,500,"((9, 9), 0, 1.5)","(9, 9)",0,1.5,0.8967254408060454,0.89,0.9035532994923858,0.8975
85,500,"((9, 9), 0, 2)","(9, 9)",0,2.0,0.8873239436619718,0.945,0.8362831858407079,0.88
86,500,"((9, 9), 0, 2.3)","(9, 9)",0,2.3,0.9029126213592233,0.93,0.8773584905660378,0.9
87,500,"((9, 9), 0, 2.5)","(9, 9)",0,2.5,0.9012658227848102,0.89,0.9128205128205128,0.9025
88,500,"((9, 9), 5, 0.2)","(9, 9)",5,0.2,0.7851002865329513,0.685,0.9194630872483222,0.8125
89,500,"((9, 9), 5, 0.5)","(9, 9)",5,0.5,0.6459627329192545,0.52,0.8524590163934426,0.715
90,500,"((9, 9), 5, 1)","(9, 9)",5,1.0,0.7886597938144329,0.765,0.8138297872340425,0.795
91,500,"((9, 9), 5, 1.2)","(9, 9)",5,1.2,0.801980198019802,0.81,0.7941176470588235,0.8
92,500,"((9, 9), 5, 1.5)","(9, 9)",5,1.5,0.8967254408060454,0.89,0.9035532994923858,0.8975
93,500,"((9, 9), 5, 2)","(9, 9)",5,2.0,0.8873239436619718,0.945,0.8362831858407079,0.88
94,500,"((9, 9), 5, 2.3)","(9, 9)",5,2.3,0.9029126213592233,0.93,0.8773584905660378,0.9
95,500,"((9, 9), 5, 2.5)","(9, 9)",5,2.5,0.9012658227848102,0.89,0.9128205128205128,0.9025
96,500,"((9, 9), 10, 0.2)","(9, 9)",10,0.2,0.7784090909090909,0.685,0.9013157894736842,0.805
97,500,"((9, 9), 10, 0.5)","(9, 9)",10,0.5,0.6168224299065421,0.495,0.8181818181818182,0.6925
98,500,"((9, 9), 10, 1)","(9, 9)",10,1.0,0.823529411764706,0.77,0.8850574712643678,0.835
99,500,"((9, 9), 10, 1.2)","(9, 9)",10,1.2,0.8346456692913387,0.795,0.8784530386740331,0.8425
100,500,"((9, 9), 10, 1.5)","(9, 9)",10,1.5,0.8779220779220779,0.845,0.9135135135135135,0.8825
101,500,"((9, 9), 10, 2)","(9, 9)",10,2.0,0.9145728643216081,0.91,0.9191919191919192,0.915
102,500,"((9, 9), 10, 2.3)","(9, 9)",10,2.3,0.9219143576826196,0.915,0.9289340101522843,0.9225
103,500,"((9, 9), 10, 2.5)","(9, 9)",10,2.5,0.9048843187660669,0.88,0.9312169312169312,0.9075
104,500,"((9, 9), 15, 0.2)","(9, 9)",15,0.2,0.7932960893854749,0.71,0.8987341772151899,0.815
105,500,"((9, 9), 15, 0.5)","(9, 9)",15,0.5,0.7104477611940297,0.595,0.8814814814814815,0.7575
106,500,"((9, 9), 15, 1)","(9, 9)",15,1.0,0.8623376623376624,0.83,0.8972972972972973,0.8675
107,500,"((9, 9), 15, 1.2)","(9, 9)",15,1.2,0.902061855670103,0.875,0.9308510638297872,0.905
108,500,"((9, 9), 15, 1.5)","(9, 9)",15,1.5,0.910941475826972,0.895,0.927461139896373,0.9125
109,500,"((9, 9), 15, 2)","(9, 9)",15,2.0,0.9455445544554456,0.955,0.9362745098039216,0.945
110,500,"((9, 9), 15, 2.3)","(9, 9)",15,2.3,0.9528535980148883,0.96,0.9458128078817734,0.9525
111,500,"((9, 9), 15, 2.5)","(9, 9)",15,2.5,0.9230769230769231,0.9,0.9473684210526315,0.925
112,500,"((9, 9), 20, 0.2)","(9, 9)",20,0.2,0.8088642659279778,0.73,0.906832298136646,0.8275
113,500,"((9, 9), 20, 0.5)","(9, 9)",20,0.5,0.8301886792452831,0.77,0.9005847953216374,0.8425
114,500,"((9, 9), 20, 1)","(9, 9)",20,1.0,0.9151670951156812,0.89,0.9417989417989417,0.9175
115,500,"((9, 9), 20, 1.2)","(9, 9)",20,1.2,0.917948717948718,0.895,0.9421052631578948,0.92
116,500,"((9, 9), 20, 1.5)","(9, 9)",20,1.5,0.9452736318407959,0.95,0.9405940594059405,0.945
117,500,"((9, 9), 20, 2)","(9, 9)",20,2.0,0.949748743718593,0.945,0.9545454545454546,0.95
118,500,"((9, 9), 20, 2.3)","(9, 9)",20,2.3,0.9526184538653366,0.955,0.9502487562189055,0.9525
119,500,"((9, 9), 20, 2.5)","(9, 9)",20,2.5,0.9573934837092732,0.955,0.9597989949748744,0.9575
120,500,"((9, 9), 25, 0.2)","(9, 9)",25,0.2,0.9043927648578811,0.875,0.9358288770053476,0.9075
121,500,"((9, 9), 25, 0.5)","(9, 9)",25,0.5,0.9292929292929293,0.92,0.9387755102040817,0.93
122,500,"((9, 9), 25, 1)","(9, 9)",25,1.0,0.9452736318407959,0.95,0.9405940594059405,0.945
123,500,"((9, 9), 25, 1.2)","(9, 9)",25,1.2,0.9452736318407959,0.95,0.9405940594059405,0.945
124,500,"((9, 9), 25, 1.5)","(9, 9)",25,1.5,0.9504950495049505,0.96,0.9411764705882353,0.95
125,500,"((9, 9), 25, 2)","(9, 9)",25,2.0,0.9396984924623116,0.935,0.9444444444444444,0.94
126,500,"((9, 9), 25, 2.3)","(9, 9)",25,2.3,0.9580246913580247,0.97,0.9463414634146341,0.9575
127,500,"((9, 9), 25, 2.5)","(9, 9)",25,2.5,0.9554455445544553,0.965,0.946078431372549,0.955
128,500,"((9, 9), 30, 0.2)","(9, 9)",30,0.2,0.9081081081081082,0.84,0.9882352941176471,0.915
129,500,"((9, 9), 30, 0.5)","(9, 9)",30,0.5,0.9639175257731958,0.935,0.9946808510638298,0.965
130,500,"((9, 9), 30, 1)","(9, 9)",30,1.0,0.9639175257731958,0.935,0.9946808510638298,0.965
131,500,"((9, 9), 30, 1.2)","(9, 9)",30,1.2,0.9639175257731958,0.935,0.9946808510638298,0.965
132,500,"((9, 9), 30, 1.5)","(9, 9)",30,1.5,0.9665809768637531,0.94,0.9947089947089947,0.9675
133,500,"((9, 9), 30, 2)","(9, 9)",30,2.0,0.9692307692307691,0.945,0.9947368421052631,0.97
134,500,"((9, 9), 30, 2.3)","(9, 9)",30,2.3,0.9692307692307691,0.945,0.9947368421052631,0.97
135,500,"((9, 9), 30, 2.5)","(9, 9)",30,2.5,0.9665809768637531,0.94,0.9947089947089947,0.9675
136,500,"((9, 9), 35, 0.2)","(9, 9)",35,0.2,0.8937329700272478,0.82,0.9820359281437125,0.9025
137,500,"((9, 9), 35, 0.5)","(9, 9)",35,0.5,0.9396325459317585,0.895,0.988950276243094,0.9425
138,500,"((9, 9), 35, 1)","(9, 9)",35,1.0,0.9371727748691099,0.895,0.9835164835164835,0.94
139,500,"((9, 9), 35, 1.2)","(9, 9)",35,1.2,0.9343832020997376,0.89,0.9834254143646409,0.9375
140,500,"((9, 9), 35, 1.5)","(9, 9)",35,1.5,0.9371727748691099,0.895,0.9835164835164835,0.94
141,500,"((9, 9), 35, 2)","(9, 9)",35,2.0,0.9371727748691099,0.895,0.9835164835164835,0.94
142,500,"((9, 9), 35, 2.3)","(9, 9)",35,2.3,0.9315789473684211,0.885,0.9833333333333333,0.935
143,500,"((9, 9), 35, 2.5)","(9, 9)",35,2.5,0.9371727748691099,0.895,0.9835164835164835,0.94
144,500,"((9, 9), 40, 0.2)","(9, 9)",40,0.2,0.8176470588235295,0.695,0.9928571428571429,0.845
145,500,"((9, 9), 40, 0.5)","(9, 9)",40,0.5,0.8603988603988605,0.755,1.0,0.8775
146,500,"((9, 9), 40, 1)","(9, 9)",40,1.0,0.8571428571428571,0.75,1.0,0.875
147,500,"((9, 9), 40, 1.2)","(9, 9)",40,1.2,0.8603988603988605,0.755,1.0,0.8775
148,500,"((9, 9), 40, 1.5)","(9, 9)",40,1.5,0.8571428571428571,0.75,1.0,0.875
149,500,"((9, 9), 40, 2)","(9, 9)",40,2.0,0.8571428571428571,0.75,1.0,0.875
150,500,"((9, 9), 40, 2.3)","(9, 9)",40,2.3,0.8439306358381503,0.73,1.0,0.865
151,500,"((9, 9), 40, 2.5)","(9, 9)",40,2.5,0.8405797101449275,0.725,1.0,0.8625
152,500,"((9, 9), 45, 0.2)","(9, 9)",45,0.2,0.7616099071207431,0.615,1.0,0.8075
153,500,"((9, 9), 45, 0.5)","(9, 9)",45,0.5,0.7915407854984895,0.655,1.0,0.8275
154,500,"((9, 9), 45, 1)","(9, 9)",45,1.0,0.7804878048780487,0.64,1.0,0.82
155,500,"((9, 9), 45, 1.2)","(9, 9)",45,1.2,0.7804878048780487,0.64,1.0,0.82
156,500,"((9, 9), 45, 1.5)","(9, 9)",45,1.5,0.7804878048780487,0.64,1.0,0.82
157,500,"((9, 9), 45, 2)","(9, 9)",45,2.0,0.78419452887538,0.645,1.0,0.8225
158,500,"((9, 9), 45, 2.3)","(9, 9)",45,2.3,0.787878787878788,0.65,1.0,0.825
159,500,"((9, 9), 45, 2.5)","(9, 9)",45,2.5,0.787878787878788,0.65,1.0,0.825
160,500,"((11, 11), 0, 0.2)","(11, 11)",0,0.2,0.8057142857142856,0.705,0.94,0.83
161,500,"((11, 11), 0, 0.5)","(11, 11)",0,0.5,0.676056338028169,0.6,0.7741935483870968,0.7125
162,500,"((11, 11), 0, 1)","(11, 11)",0,1.0,0.795,0.795,0.795,0.795
163,500,"((11, 11), 0, 1.2)","(11, 11)",0,1.2,0.8710462287104622,0.895,0.8483412322274881,0.8675
164,500,"((11, 11), 0, 1.5)","(11, 11)",0,1.5,0.9035532994923858,0.89,0.9175257731958762,0.905
165,500,"((11, 11), 0, 2)","(11, 11)",0,2.0,0.9,0.945,0.8590909090909091,0.895
166,500,"((11, 11), 0, 2.3)","(11, 11)",0,2.3,0.9012048192771084,0.935,0.8697674418604651,0.8975
167,500,"((11, 11), 0, 2.5)","(11, 11)",0,2.5,0.9048843187660669,0.88,0.9312169312169312,0.9075
168,500,"((11, 11), 5, 0.2)","(11, 11)",5,0.2,0.8057142857142856,0.705,0.94,0.83
169,500,"((11, 11), 5, 0.5)","(11, 11)",5,0.5,0.676056338028169,0.6,0.7741935483870968,0.7125
170,500,"((11, 11), 5, 1)","(11, 11)",5,1.0,0.795,0.795,0.795,0.795
171,500,"((11, 11), 5, 1.2)","(11, 11)",5,1.2,0.8710462287104622,0.895,0.8483412322274881,0.8675
172,500,"((11, 11), 5, 1.5)","(11, 11)",5,1.5,0.9035532994923858,0.89,0.9175257731958762,0.905
173,500,"((11, 11), 5, 2)","(11, 11)",5,2.0,0.9,0.945,0.8590909090909091,0.895
174,500,"((11, 11), 5, 2.3)","(11, 11)",5,2.3,0.9012048192771084,0.935,0.8697674418604651,0.8975
175,500,"((11, 11), 5, 2.5)","(11, 11)",5,2.5,0.9048843187660669,0.88,0.9312169312169312,0.9075
176,500,"((11, 11), 10, 0.2)","(11, 11)",10,0.2,0.8068181818181819,0.71,0.9342105263157895,0.83
177,500,"((11, 11), 10, 0.5)","(11, 11)",10,0.5,0.7122507122507121,0.625,0.8278145695364238,0.7475
178,500,"((11, 11), 10, 1)","(11, 11)",10,1.0,0.8358974358974358,0.815,0.8578947368421053,0.84
179,500,"((11, 11), 10, 1.2)","(11, 11)",10,1.2,0.8556430446194226,0.815,0.9005524861878453,0.8625
180,500,"((11, 11), 10, 1.5)","(11, 11)",10,1.5,0.8877284595300261,0.85,0.9289617486338798,0.8925
181,500,"((11, 11), 10, 2)","(11, 11)",10,2.0,0.9303482587064678,0.935,0.9257425742574258,0.93
182,500,"((11, 11), 10, 2.3)","(11, 11)",10,2.3,0.9292929292929293,0.92,0.9387755102040817,0.93
183,500,"((11, 11), 10, 2.5)","(11, 11)",10,2.5,0.8860103626943004,0.855,0.9193548387096774,0.89
184,500,"((11, 11), 15, 0.2)","(11, 11)",15,0.2,0.807909604519774,0.715,0.9285714285714286,0.83
185,500,"((11, 11), 15, 0.5)","(11, 11)",15,0.5,0.7471264367816092,0.65,0.8783783783783784,0.78
186,500,"((11, 11), 15, 1)","(11, 11)",15,1.0,0.8733850129198966,0.845,0.9037433155080213,0.8775
